timestamp,watts,vram_mb,temp_c
1787347464,20.17,2331,82
1787347465,24.43,2331,82
1787347466,24.50,2331,82
1787347467,24.62,2331,82
1787347468,24.48,2331,82
1787347469,23.95,2331,82
1787347470,23.67,2331,82
1787347471,24.98,2331,82
1787347472,25.32,2331,83
1787347473,25.90,2331,83
1787347474,25.58,2331,82
1787347475,25.08,2331,83
1787347476,24.43,2331,82
1787347477,29.04,2331,82
1787347478,24.41,2331,82
1787347479,23.91,2331,82
1787347480,24.18,2331,82
1787347481,24.23,2331,82
1787347482,24.25,2331,82
1787347483,24.31,2331,83
1787347484,24.31,2331,82
1787347485,24.33,2331,83
1787347486,24.31,2331,83
1787347487,26.96,2331,83
1787347488,24.76,2331,83
1787347489,25.45,2331,83
1787347490,26.10,2331,83
1787347492,26.77,2331,83
1787347493,25.95,2331,83
1787347494,24.81,2331,83
1787347495,24.34,2331,83
1787347496,24.20,2331,83
1787347497,24.08,2331,83
1787347498,23.81,2331,83
1787347499,23.75,2331,83
1787347500,24.06,2331,83
1787347501,24.05,2331,83
1787347502,24.01,2331,83
1787347503,15.39,279,82
1787347504,14.72,275,81
1787347505,14.40,258,81
1787347506,13.48,258,81
1787347507,12.44,258,80
1787347508,9.86,256,79
1787347509,9.73,256,79
1787347510,9.58,255,79
1787347511,9.65,293,78
1787347512,20.13,383,82
1787347513,31.41,379,83
1787347514,40.20,372,85
1787347515,51.94,368,87
1787347516,49.44,368,87
1787347517,44.52,368,86
1787347518,43.83,368,86
1787347519,43.84,368,87
1787347520,43.89,368,87
1787347521,43.98,368,87
1787347522,39.31,368,86
1787347523,40.65,368,87
1787347524,43.26,368,87
1787347525,38.67,368,86
1787347526,38.16,368,86
1787347527,38.24,368,86
1787347528,38.25,368,86
1787347529,38.25,367,86
1787347530,38.28,367,86
1787347531,38.21,367,86
1787347532,38.16,367,86
1787347533,38.17,367,87
1787347534,38.21,367,86
1787347535,38.08,367,87
1787347536,38.01,367,87
1787347537,37.99,367,87
1787347538,38.15,367,87
1787347539,38.12,367,87
1787347540,38.13,367,87
1787347541,38.21,367,87
1787347542,38.20,367,87
1787347543,38.17,367,87
1787347544,38.13,367,87
1787347545,36.53,367,87
1787347546,34.61,367,86
1787347547,34.60,367,86
1787347548,34.53,367,86
1787347549,34.51,367,86
1787347550,34.41,367,86
1787347551,34.26,367,86
1787347552,34.12,367,86
1787347553,34.19,367,86
1787347554,34.27,367,86
1787347555,34.26,367,86
1787347556,34.18,367,86
1787347557,34.18,367,86
1787347558,34.17,367,86
1787347559,34.19,367,86
1787347560,34.21,367,86
1787347561,34.15,367,86
1787347562,34.13,367,86
1787347563,34.11,367,86
1787347564,34.06,367,86
1787347565,34.15,367,86
1787347566,34.14,367,86
1787347567,34.04,367,86
1787347568,34.12,367,86
1787347569,34.11,367,86
1787347570,34.08,367,86
1787347571,34.12,367,86
1787347572,27.65,291,84
1787347573,15.14,276,83
1787347574,14.39,276,83
1787347575,13.62,276,82
1787347576,11.39,275,81
1787347577,10.04,275,81
1787347578,9.95,274,80
1787347579,9.85,266,80
1787347580,11.00,433,81
1787347581,14.73,434,81
1787347582,16.66,428,81
1787347583,11.49,646,80
1787347584,14.94,1916,81
1787347585,25.25,1913,84
1787347586,31.65,1903,84
1787347587,32.07,1903,84
1787347588,32.42,1903,85
1787347589,33.17,1903,85
1787347590,31.15,1903,85
1787347591,31.30,1903,85
1787347592,32.72,1903,85
1787347593,32.25,1903,85
1787347594,31.39,1903,85
1787347595,31.50,1903,85
1787347596,31.08,1903,85
1787347597,30.91,1903,85
1787347598,31.07,1903,85
1787347599,31.30,1903,85
1787347600,31.29,1903,85
1787347601,31.59,1903,86
1787347602,32.12,1903,86
1787347603,31.85,1903,86
1787347604,31.92,1903,86
1787347605,32.81,1903,86
1787347606,33.59,1903,86
1787347607,33.43,1903,86
1787347608,32.88,1903,86
1787347609,32.54,1903,86
1787347610,33.26,1903,86
1787347611,33.92,1903,87
1787347612,34.41,1903,87
1787347613,34.50,1903,87
1787347614,32.97,1903,87
1787347615,32.14,1903,86
1787347616,31.99,1903,86
1787347617,32.40,1903,87
1787347618,32.86,1903,87
1787347619,33.38,1903,87
1787347620,32.78,1903,87
1787347621,31.45,1903,87
1787347622,33.10,1903,87
1787347623,34.58,1903,87
1787347624,34.45,1903,87
1787347625,33.85,1903,87
1787347626,33.63,1903,87
1787347627,32.84,1903,87
1787347628,31.81,1903,87
1787347629,31.54,1903,87
1787347630,31.58,1903,87
1787347631,31.62,1903,87
1787347632,31.60,1903,87
1787347633,31.82,1903,87
1787347634,32.14,1903,87
1787347635,32.69,1903,87
1787347636,32.96,1903,87
1787347637,32.82,1903,87
1787347638,31.88,1903,87
1787347639,30.63,1903,87
